subj_idx,rt,response,type,pre_Ne,pre_Pe
1,0.434,1,correct,-6.637790834,-6.479606853
1,0.484,0,correct,4.235442414,1.421668359
1,0.782,1,error,-5.00580517,3.278188845
1,0.438,1,correct,8.506691833,0.56535022
1,0.358,1,correct,-1.476831614,-2.04357401
1,0.49,1,correct,-0.503929762,1.783539564
1,0.556,1,correct,8.01825709,4.368542135
1,0.486,1,correct,-2.833912582,-4.720481599
1,0.528,1,correct,8.100398982,0.968834186
1,0.69,1,correct,9.271516092,4.266430985
1,0.56,1,correct,6.359720116,1.299990272
1,0.534,0,correct,-6.747132729,-4.651627821
1,0.684,1,error,-12.69218884,6.19010941
1,0.466,1,correct,-4.453298377,-5.392052562
1,0.516,1,correct,-3.112780171,-2.62551314
1,0.546,1,correct,-7.043728414,-4.532299757
1,0.426,1,correct,-5.304069564,0.555996852
1,0.484,1,correct,3.036293192,3.134792246
1,0.524,1,correct,-6.578196139,-4.686530743
1,0.584,1,correct,-5.80632458,-6.389677268
1,0.62,1,correct,-2.364818647,-1.685184504
1,0.574,1,correct,2.978234813,-0.163795638
1,0.526,0,correct,-7.098837028,-6.975613434
1,0.582,1,error,-7.290976879,10.72280323
1,0.718,1,correct,7.493403942,2.634587095
1,0.478,1,correct,-2.34295977,-3.665828487
1,0.554,1,correct,-1.45412144,-2.255642489
1,0.518,1,correct,-4.105117371,-4.498030721
1,0.646,1,correct,-1.23396136,-1.126670642
1,0.448,1,correct,19.93473742,8.184671652
1,0.39,1,correct,-7.248908328,-4.450000815
1,0.498,1,correct,4.176614396,-1.493024802
1,0.494,1,correct,-6.40432005,-7.149992992
1,0.518,1,correct,-8.049119863,-4.168762245
1,0.484,1,correct,-4.340521615,-4.37017602
1,0.458,1,correct,-8.204563927,-3.898950082
1,0.526,1,correct,-5.365599983,-6.520822811
1,0.586,1,correct,-5.153013284,-3.391367954
1,0.598,1,correct,-5.017671663,-5.671582123
1,0.446,0,correct,-6.485973146,-5.571479703
1,0.522,1,error,-7.693866137,4.668485424
1,0.504,1,correct,-2.754797635,-4.508163884
1,0.508,1,correct,-1.652332242,2.861641864
1,0.52,1,correct,-4.255328567,-0.746522182
1,0.622,1,correct,7.197995043,5.180110117
1,0.474,1,correct,1.326497673,3.752650156
1,0.558,1,correct,-5.995751598,-10.19823332
1,0.482,1,correct,4.578460003,1.446618047
1,0.485,1,correct,-2.280652513,-3.528472939
1,0.544,1,correct,9.080339333,3.087059668
1,0.424,0,correct,-0.419689222,6.124658105
1,0.492,1,error,-11.19986598,3.642198302
1,0.422,1,correct,-2.07313892,-0.384958474
1,0.43,1,correct,-6.656220516,-4.139682606
1,0.686,1,correct,-27.30691459,-7.159298896
1,0.552,1,correct,-5.835961714,-0.818090985
10,0.502,1,correct,8.903042161,2.55982517
10,0.49,1,correct,4.683144764,4.668969408
10,0.56,1,correct,-6.955947362,-5.77169025
10,0.56,1,correct,0.624115581,-4.983900134
10,0.558,1,correct,-0.288527316,-10.19799537
10,0.566,1,correct,13.30886456,8.88924168
10,0.648,1,correct,9.563596888,4.543926969
10,0.544,1,correct,4.726265072,-8.540459693
10,0.514,1,correct,3.238291506,-0.004813878
10,0.48,1,correct,-9.905069732,-9.125403058
10,0.544,1,correct,6.110590889,3.197419568
10,0.406,1,correct,2.105569162,0.783776182
10,0.41,1,correct,4.874089579,2.248914026
10,0.596,1,correct,5.405629138,-1.605734347
10,0.58,1,correct,-7.548136778,-8.934479029
10,0.446,1,correct,5.918808814,-0.771643529
10,0.47,1,correct,-8.037911354,-2.950384606
10,0.434,1,correct,3.938104766,0.164475206
10,0.54,0,correct,-7.590927475,0.473819477
10,0.476,1,error,11.29306016,-10.62187245
10,0.54,1,correct,-8.539802124,-14.23024831
10,0.606,1,correct,5.037458492,0.15979869
10,0.534,1,correct,12.22732752,7.390831006
10,0.63,1,correct,5.929407519,1.392296611
10,0.526,1,correct,-6.370116584,-2.62015684
10,0.582,1,correct,4.010143862,-0.479711748
