subj_idx,rt,response,type,pre_Ne,pre_Pe
10,0.524,1,error,-10.8134273,-7.054696329
10,0.588,1,correct,2.172538017,-5.482069197
10,0.476,1,correct,-3.152136983,-12.92985927
10,0.476,1,correct,-4.757547986,1.004860999
10,0.462,1,correct,-3.640927126,-2.014135029
10,0.434,1,correct,-0.874042112,-1.421417139
10,0.38,0,correct,-3.724988123,-1.724185061
10,0.376,1,correct,5.172948039,8.943699722
10,0.346,1,correct,1.610668958,0.851964092
10,0.342,1,correct,-0.164185188,-0.432822741
10,0.488,1,correct,0.480598774,2.246926288
10,0.322,0,correct,-1.810574044,-5.84772855
10,0.23,1,error,-10.79405139,-1.040384363
10,0.318,0,correct,-1.551672788,-7.313248364
10,0.376,0,error,1.624438039,5.757257715
10,0.33,1,correct,-3.463556055,-5.257396521
10,0.292,1,correct,3.195576553,4.508092231
10,0.382,1,correct,4.060968421,3.999200293
10,0.436,1,correct,0.389987915,0.912330482
10,0.4,1,correct,-0.130374995,2.807463233
10,0.374,1,correct,3.839713688,1.130458707
10,0.41,1,correct,-2.493660151,-5.218394959
10,0.414,1,correct,0.210846438,5.876043414
10,0.408,1,correct,2.343713342,-0.616398941
10,0.392,1,correct,-1.047190835,0.933996837
10,0.496,1,correct,1.21463996,-6.218218124
10,0.43,1,correct,-2.324066336,-1.693407596
10,0.38,1,correct,1.129753531,-5.858134945
10,0.406,1,correct,-2.747030907,-2.582699067
10,0.446,1,correct,-2.407785089,-3.785090627
10,0.354,1,correct,2.547892472,-0.837686026
10,0.434,1,correct,-0.248977623,-6.316017954
10,0.394,1,correct,-2.107453855,-3.531782804
10,0.366,1,correct,-1.289744964,-3.933083803
10,0.386,1,correct,0.022686927,0.114367652
10,0.338,1,correct,2.661730332,1.833785676
10,0.462,1,correct,0.060301637,3.716110274
10,0.4,1,correct,1.41715418,-3.026333738
10,0.448,1,correct,4.033220975,4.821384132
10,0.368,1,correct,-1.91217404,-0.785647359
10,0.504,1,correct,0.389529366,-1.57414804
10,0.344,0,correct,-2.062513412,3.213115135
10,0.36,1,error,-7.892670043,4.822941143
10,0.42,1,error,-4.51120586,5.615870373
10,0.338,1,correct,0.591034362,0.501534768
10,0.418,1,correct,1.323679867,-4.030495976
10,0.242,1,correct,3.115027184,3.753992186
10,0.296,0,correct,2.768370159,-8.363124723
10,0.372,0,error,21.36461716,-10.89901498
10,0.398,1,correct,4.385878182,11.21216346
10,0.382,1,correct,0.40502403,2.407009771
10,0.284,0,correct,3.963449387,1.48176291
10,0.556,1,error,-9.008174622,6.48422766
10,0.364,1,correct,1.795720938,0.401118928
10,0.422,1,correct,1.604315212,-3.562444562
10,0.312,1,correct,6.24199819,0.54880031
10,0.396,1,correct,2.613783542,3.350307216
10,0.298,1,correct,6.332762958,8.454938612
10,0.32,0,correct,7.420629317,12.82219515
10,0.296,1,error,-2.250836652,-1.01986012
10,0.402,1,correct,-2.852012857,-2.197869126
10,0.42,1,correct,0.146724315,-0.380829907
10,0.308,1,correct,1.400486625,0.570239347
10,0.34,1,correct,2.566191625,2.370442601
10,0.34,1,correct,-1.566235552,0.487373392
10,0.326,1,correct,2.385701289,6.591957618
10,0.27,0,correct,11.07580919,10.60465195
10,0.42,1,error,-6.185581978,4.267429636
10,0.446,1,correct,2.014812414,1.997320966
10,0.38,1,correct,-0.59869212,-13.12240293
10,0.308,1,correct,0.707227617,3.218057494
10,0.511,1,correct,6.487514285,6.606641757
10,0.312,1,correct,-4.149055237,-1.165554332
10,0.426,1,correct,3.34070876,-2.933494109
10,0.364,1,correct,0.729276524,3.825875592
10,0.294,0,correct,-3.156303322,-7.261700015
10,0.42,1,error,-12.14215253,4.158907809
10,0.292,0,correct,2.594015235,-4.820745727
10,0.322,1,error,-10.37902044,0.710250093
10,0.254,0,correct,4.227050318,4.840846332
10,0.29,0,error,-11.26422045,3.483664074
10,0.34,0,correct,4.164674886,5.985549395
10,0.346,0,error,11.16954079,-4.388170388
10,0.328,1,error,-8.521065162,2.730365156
10,0.378,1,correct,-0.590798021,-8.430522557
10,0.254,1,correct,0.171210713,-8.787609539
10,0.45,1,correct,2.381364442,-10.3387834
10,0.354,1,correct,2.806283993,0.123260828
10,0.376,0,correct,1.309176367,6.460829352
10,0.306,0,error,-5.8761331,-7.569689128
10,0.398,0,correct,2.71931411,2.593081792
10,0.336,1,error,6.20799497,-12.02690838
10,0.516,1,correct,0.033737596,1.170757772
10,0.412,0,correct,-0.203243817,-1.552341731
10,0.59,1,error,-10.56551212,-0.856447545
10,0.366,0,correct,-4.436335062,-2.097312933
10,0.512,1,error,-4.953082677,-1.468376636
10,0.428,1,correct,-1.068510351,-2.458674304
10,0.464,1,correct,-0.843380693,0.986333472
10,0.478,1,correct,-0.15064687,1.01629753
10,0.368,1,correct,2.388983348,1.617832811
10,0.526,1,correct,0.067468013,3.26515014
10,0.438,1,correct,-4.645353485,-5.674227294
10,0.39,1,correct,2.633510922,3.263880318
10,0.358,1,correct,-0.254608627,2.809064204
10,0.422,1,correct,0.960375621,5.011475061
10,0.324,1,correct,-2.39875363,-1.820407884
10,0.402,1,correct,6.783434033,4.178436091
10,0.462,1,correct,1.280989907,3.371537389
10,0.406,1,correct,3.130644836,0.117007944
10,0.412,1,correct,1.610354731,2.929104715
10,0.332,0,correct,1.214077947,1.257111667
10,0.464,1,error,10.37810079,0.847572569
